iter	RMSE
0	13.87948378
1	12.98414017
2	12.14225875
3	11.39785606
4	10.72728768
5	10.23205796
6	9.731111646
7	9.258554904
8	8.855672017
9	8.454948988
10	8.072565777
11	7.763143066
12	7.521247487
13	7.262174763
14	7.044990587
15	6.843517624
16	6.642244686
17	6.481471392
18	6.340094046
19	6.23239055
20	6.125111168
21	6.025092881
22	5.929708912
23	5.847266433
24	5.779738359
25	5.714856842
26	5.653261203
27	5.600261181
28	5.555599099
29	5.510818223
30	5.467452658
31	5.421304877
32	5.390116014
33	5.359108482
34	5.323735427
35	5.296080872
36	5.270976995
37	5.248510681
38	5.229909116
39	5.208903387
40	5.191977904
41	5.181412145
42	5.164909404
43	5.155119185
44	5.139474639
45	5.117473723
46	5.092229304
47	5.075434135
48	5.060987389
49	5.038232045
50	5.024262414
51	5.006814521
52	4.99574572
53	4.978977566
54	4.962450713
55	4.953747229
56	4.937197256
57	4.919417887
58	4.907834744
59	4.896369109
60	4.888863679
61	4.882968712
62	4.873088525
63	4.862566213
64	4.854658402
65	4.846771143
66	4.83398738
67	4.822326135
68	4.816378067
69	4.802585397
70	4.790016376
71	4.777344265
72	4.767426556
73	4.756875201
74	4.752426664
75	4.741626366
76	4.735974742
77	4.73041303
78	4.720697587
79	4.715744291
80	4.703590416
81	4.699775612
82	4.693791865
83	4.67924756
84	4.677370308
85	4.673548379
86	4.668042719
87	4.657622622
88	4.653080932
89	4.645870418
90	4.639934216
91	4.634940657
92	4.634057654
93	4.624049163
94	4.613203091
95	4.608172543
96	4.602627347
97	4.59378916
98	4.578532431
99	4.576459071
