iter	Passed	Remaining
0	1	103
1	1	90
2	2	85
3	3	85
4	4	91
5	5	92
6	7	96
7	8	96
8	9	93
9	10	90
10	11	92
11	12	92
12	13	92
13	15	92
14	15	90
15	16	88
16	17	86
17	18	84
18	19	82
19	20	82
20	22	83
21	23	83
22	24	82
23	26	82
24	27	81
25	28	80
26	29	78
27	29	76
28	30	75
29	31	74
30	33	73
31	33	71
32	34	70
33	36	70
34	38	70
35	39	70
36	41	69
37	43	70
38	44	70
39	46	69
40	47	68
41	48	66
42	49	65
43	51	64
44	52	64
45	53	63
46	54	61
47	55	60
48	57	59
49	58	58
50	60	58
51	61	56
52	62	55
53	63	54
54	64	53
55	66	52
56	67	50
57	68	49
58	70	48
59	71	47
60	72	46
61	73	44
62	74	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	81	36
69	82	35
70	83	34
71	84	33
72	86	32
73	88	30
74	89	29
75	90	28
76	91	27
77	92	26
78	93	24
79	94	23
80	96	22
81	97	21
82	98	20
83	100	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	106	11
90	107	10
91	108	9
92	109	8
93	110	7
94	111	5
95	112	4
96	114	3
97	115	2
98	117	1
99	118	0
